feature,importance
num__jour,0.5038841017021677
num__critere_rang,0.14253929726466597
num__latitude,0.1136476148696106
num__longitude,0.041202885393731604
cat__secteur_Avicole,0.03871672023138672
cat__utilisateur_iyed ben salem,0.02278864551081091
cat__filiale_couvoir cedria,0.021593330298174333
cat__utilisateur_najla sassi,0.020499967025882613
cat__utilisateur_ahmed taha,0.02043217076662672
cat__filiale_Agromed,0.015039920708110964
cat__utilisateur_oumaima masmoudi,0.01286617491552986
cat__secteur_Agro,0.011592904649290582
cat__filiale_Sokapo,0.007070639533161403
cat__filiale_couvoir ennajeh,0.0066088842920952115
cat__filiale_Nutrimix sfax,0.006291652447069325
